Recency,Frequency,Monetary,avg_quantity_per_order,max_quantity,min_quantity,std_quantity,total_items_purchased,unique_products,unique_invoices,total_revenue,avg_order_value,max_order_value,min_order_value,std_order_value,revenue_per_item,active_days,active_months,customer_tenure_days,days_since_first_purchase,purchase_span_days,avg_days_between_orders,order_consistency,spend_consistency
4,18,1460.67,4.3317422434367545,24,1,4.156878149830876,1815,187,18,1460.67,3.4860859188544158,39.95,0.29,3.380283806814134,0.8047768595041322,18,9,300,304,300,17.647058823529413,0.06,0.7958584586303127
25,3,46.6,6.5,25,1,7.671840904055744,52,5,3,46.6,5.825,9.95,4.95,1.6850180160122064,0.8961538461538462,3,3,127,152,127,63.5,0.0236220472440944,2.1694454060503108
313,1,84.33,6.790697674418604,36,1,7.472355845555905,292,41,1,84.33,1.9611627906976743,7.65,0.29,1.7876030896710682,0.2888013698630137,1,1,0,313,0,0.0,1.0,0.7035301395540812
9,11,429.1,55.5945945945946,240,3,46.44123919307816,6171,97,11,429.1,3.865765765765766,14.95,0.34,4.271075136000632,0.0695349214065791,11,8,232,242,232,23.2,0.0474137931034482,0.7333922712205677
176,2,1.25,600.0,600,600,0.0,1200,1,2,1.25,0.625,0.72,0.53,0.134350288425444,0.0010416666666666,2,2,136,313,136,136.0,0.0147058823529411,0.5509761899629284
243,1,28.46,12.0,24,4,5.764613536983137,168,14,1,28.46,2.032857142857143,4.95,0.83,1.0309698837012171,0.1694047619047619,1,1,0,243,0,0.0,1.0,1.0009292403452517
22,15,139.54,341.5121951219512,2880,6,391.4626653564315,28004,28,15,139.54,1.701707317073171,7.65,0.55,1.2011761775757246,0.0049828595914869,15,8,336,358,336,24.0,0.0446428571428571,0.773090011789676
128,6,124.51,75.33333333333333,576,1,116.32251517325392,1808,11,6,124.51,5.187916666666666,20.0,0.42,6.7505117224172535,0.0688661504424778,6,4,204,333,204,40.8,0.0294117647058823,0.6693644048897255
361,1,83.0,5.4,12,3,2.585674822114004,81,15,1,83.0,5.533333333333333,14.95,0.85,3.505692649446176,1.0246913580246917,1,1,0,361,0,0.0,1.0,1.2280760726130466
68,1,120.95,3.8666666666666663,12,1,2.9244454093692624,58,15,1,120.95,8.063333333333334,12.5,2.95,3.5413610512397766,2.0853448275862068,1,1,0,68,0,0.0,1.0,1.775532322216942
92,2,18.75,12.0,24,4,4.988876515698589,120,10,2,18.75,1.875,4.95,0.42,1.31393598694068,0.15625,2,2,31,124,31,31.0,0.064516129032258,0.8103076362449378
192,1,89.17,10.807692307692308,48,1,10.178484094477843,281,26,1,89.17,3.4296153846153845,9.95,0.29,2.947028986310424,0.3173309608540925,1,1,0,192,0,0.0,1.0,0.8689106151767323
12,5,630.24,1.7025316455696202,12,1,1.3138628498302836,269,117,5,630.24,3.988860759493671,12.75,0.29,3.293516884871619,2.342899628252788,5,3,73,85,73,18.25,0.0684931506849315,0.9290427559627362
152,1,6.3,57.75,216,20,50.23610919116514,924,16,1,6.3,0.39375,0.79,0.06,0.2600993399965995,0.0068181818181818,1,1,0,152,0,0.0,1.0,0.3124753640463477
9,10,558.54,8.659574468085106,48,1,8.508676065584927,1221,99,10,558.54,3.961276595744681,12.75,0.19,3.0761139332104044,0.4574447174447174,10,9,357,366,357,39.66666666666666,0.0280112044817927,0.971826759666829
274,1,5.49,21.0,48,2,24.020824298928627,63,3,1,5.49,1.83,2.95,0.85,1.0569768209379051,0.0871428571428571,1,1,0,274,0,0.0,1.0,0.8896551392181407
4,3,39.27,13.55,48,3,10.71877349621485,271,17,3,39.27,1.9635,4.95,0.29,1.4672791683571116,0.1449077490774907,3,2,47,52,47,23.5,0.0638297872340425,0.7958159032759298
73,6,85.39,31.977272727272727,96,2,24.52761958734611,1407,18,6,85.39,1.9406818181818184,7.95,0.29,1.6874604529075194,0.0606894100923951,6,5,180,253,180,36.0,0.0333333333333333,0.7221247911135684
2,30,2019.75,16.114084507042254,80,1,10.977330092467746,11441,363,30,2019.75,2.844718309859155,125.0,0.06,7.002345878695428,0.1765361419456341,30,12,359,361,359,12.379310344827584,0.0835654596100278,0.3554855479857003
323,1,36.2,8.545454545454545,12,2,3.110100846070312,94,11,1,36.2,3.290909090909091,15.0,1.65,3.9065853492415967,0.3851063829787234,1,1,0,323,0,0.0,1.0,0.6707126966450836
358,1,46.5,4.25,12,1,5.188127472091128,17,4,1,46.5,11.625,24.95,0.85,10.139485522780072,2.735294117647059,1,1,0,358,0,0.0,1.0,1.0435850000636977
299,2,188.69,1.972972972972973,6,1,1.3225918679809163,73,37,2,188.69,5.09972972972973,14.95,1.25,3.509622080388022,2.584794520547945,2,2,14,314,14,14.0,0.1428571428571428,1.1308552332817503
118,3,159.38,11.27906976744186,30,1,7.162486869913497,485,41,3,159.38,3.706511627906977,39.95,0.29,6.196992697583982,0.3286185567010309,3,3,213,331,213,106.5,0.0140845070422535,0.5150083908173543
181,1,39.36,7.714285714285714,12,1,5.0568200058365305,54,7,1,39.36,5.622857142857143,16.95,0.42,7.778641085874649,0.7288888888888889,1,1,0,181,0,0.0,1.0,0.6405156661325009
88,1,49.75,32.869565217391305,72,12,16.957981086486807,756,23,1,49.75,2.1630434782608696,9.95,0.39,2.102590252700461,0.0658068783068783,1,1,0,88,0,0.0,1.0,0.6971734267450173
54,1,38.15,4.714285714285714,13,2,3.9880774697543058,33,7,1,38.15,5.45,11.95,1.65,3.17752524249087,1.156060606060606,1,1,0,54,0,0.0,1.0,1.3046001361204007
241,1,36.71,18.47826086956522,48,3,14.559812577519333,425,23,1,36.71,1.5960869565217393,7.95,0.39,1.9197318447458296,0.0863764705882352,1,1,0,241,0,0.0,1.0,0.5466553236366414
237,1,22.52,15.466666666666669,25,2,7.2097817152083294,232,15,1,22.52,1.5013333333333334,5.95,0.42,1.4218743498167012,0.0970689655172413,1,1,0,237,0,0.0,1.0,0.6199055427656522
109,3,107.73,14.846153846153848,36,2,8.21615962811646,772,24,3,107.73,2.0717307692307694,7.95,0.65,1.6662882564383916,0.1395466321243523,3,2,194,304,194,97.0,0.0154639175257731,0.7770092990613746
23,11,619.86,12.53877551020408,40,1,8.277681238801183,3072,171,11,619.86,2.530040816326531,16.95,0.42,2.3330070123423696,0.20177734375,11,6,245,268,245,24.5,0.0448979591836734,0.7590865566611783
125,2,69.87,11.73076923076923,48,1,9.689407380465298,305,25,2,69.87,2.6873076923076926,12.75,0.39,2.5152090293926785,0.2290819672131147,2,2,64,189,64,64.0,0.03125,0.7644801972905656
333,1,43.690000000000005,8.470588235294118,24,3,5.316456139417774,144,17,1,43.690000000000005,2.5700000000000003,5.95,0.42,1.678578267463272,0.3034027777777778,1,1,0,333,0,0.0,1.0,0.959464216975784
374,1,16.85,48.5,96,1,67.17514421272202,97,2,1,16.85,8.425,15.0,1.85,9.2984541726031,0.1737113402061856,1,1,0,374,0,0.0,1.0,0.8180839433565636
78,1,0.8699999999999999,40.0,48,24,13.856406460551018,120,3,1,0.8699999999999999,0.29,0.29,0.29,0.0,0.0072499999999999,1,1,0,78,0,0.0,1.0,0.29
16,2,332.63,7.175,24,1,7.239094361830572,287,36,2,332.63,8.31575,50.0,0.65,12.502094980852466,1.1589895470383276,2,2,63,79,63,63.0,0.0317460317460317,0.6158859059866411
4,4,364.78,13.09433962264151,72,1,10.086833411119333,2082,148,4,364.78,2.2942138364779874,25.0,0.12,2.893162910185085,0.1752065321805955,4,3,56,60,56,18.666666666666668,0.0714285714285714,0.5892930476852093
15,15,690.16,18.89855072463768,60,1,11.873293350068607,3912,93,15,690.16,3.3341062801932364,18.0,0.21,3.6751103342936817,0.1764212678936605,15,10,351,367,351,25.071428571428573,0.0427350427350427,0.7131609826908941
60,1,130.83,8.163636363636364,25,1,9.148494384047549,449,51,1,130.83,2.378727272727273,9.95,0.19,2.4725366001451303,0.2913808463251671,1,1,0,60,0,0.0,1.0,0.6850114330336667
36,1,287.17,4.286585365853658,96,1,9.76771019747568,703,141,1,287.17,1.7510365853658538,8.95,0.06,1.5373132562145728,0.4084921763869132,1,1,0,36,0,0.0,1.0,0.6901144669768651
48,4,682.42,3.643044619422572,48,1,5.301304225883692,1388,221,4,682.42,1.7911286089238845,12.75,0.19,1.67878434612211,0.491657060518732,4,3,167,215,167,55.66666666666666,0.0239520958083832,0.668634864735109
262,1,27.6,15.0,36,2,12.922847983320086,135,9,1,27.6,3.066666666666667,12.75,0.85,3.707256397930955,0.2044444444444444,1,1,0,262,0,0.0,1.0,0.6514764456031332
38,1,113.64,10.64102564102564,25,2,7.868950239247055,415,39,1,113.64,2.913846153846154,8.5,0.39,2.7735552098388614,0.2738313253012048,1,1,0,38,0,0.0,1.0,0.7721753073199586
148,3,883.9000000000001,15.696296296296296,288,1,25.722188015980752,2119,132,3,883.9000000000001,6.547407407407408,550.94,0.1,47.27920927633485,0.4171307220386975,3,2,25,173,25,12.5,0.12,0.1356154648252859
209,1,28.35,5.846153846153846,24,1,6.135228246856481,76,13,1,28.35,2.180769230769231,7.95,0.55,1.897535513670568,0.3730263157894737,1,1,0,209,0,0.0,1.0,0.7526289912514843
41,12,866.92,6.74235807860262,50,1,8.861457823967466,1544,146,12,866.92,3.785676855895197,12.75,0.42,2.804961472111903,0.5614766839378238,12,8,290,331,290,26.363636363636363,0.0413793103448275,0.994931718400291
18,1,16.45,18.0,36,6,15.874507866387544,54,3,1,16.45,5.483333333333333,6.95,2.55,2.5403411844343533,0.3046296296296296,1,1,0,18,0,0.0,1.0,1.548814944006425
2,3,144.8,8.564102564102564,36,1,8.340752432910264,334,39,3,144.8,3.712820512820513,16.95,0.19,3.768379484688448,0.4335329341317365,3,3,230,232,230,115.0,0.0130434782608695,0.77863360597507
335,1,55.79,5.428571428571429,24,1,6.512878197662107,76,14,1,55.79,3.985,8.5,0.85,2.7970857086507843,0.734078947368421,1,1,0,335,0,0.0,1.0,1.0494890834097046
31,8,618.91,11.074418604651164,48,1,7.363337222862754,2381,166,8,618.91,2.878651162790697,12.75,0.29,2.541831987834657,0.2599370012599747,8,4,221,252,221,31.571428571428573,0.0361990950226244,0.8127576837857282
4,5,531.6,14.570754716981131,96,1,14.119654326160466,3089,190,5,531.6,2.5075471698113208,14.95,0.19,2.4101768086489628,0.1720945289737779,5,5,349,353,349,87.25,0.0143266475644699,0.7353129501824147
51,2,299.5,2.48936170212766,25,1,3.4787980894749704,234,90,2,299.5,3.186170212765957,19.95,0.29,3.228927418167115,1.2799145299145298,2,2,121,172,121,121.0,0.0165289256198347,0.7534227707665162
1,17,740.46,15.027932960893857,288,1,30.57215266769833,2690,86,17,740.46,4.136648044692738,39.95,0.39,5.241024209893519,0.2752639405204461,17,8,265,267,265,16.5625,0.0641509433962264,0.6628155741064358
22,1,81.7,2.659090909090909,20,1,3.65960464136199,117,44,1,81.7,1.856818181818182,8.5,0.21,1.5374681282040057,0.6982905982905984,1,1,0,22,0,0.0,1.0,0.7317601987507206
232,1,261.22,9.137931034482758,32,1,8.832651299446644,530,58,1,261.22,4.5037931034482765,16.95,0.42,4.342805636745455,0.4928679245283019,1,1,0,232,0,0.0,1.0,0.8429640547792304
101,5,322.11,7.285714285714286,24,1,6.142725999649254,561,51,5,322.11,4.183246753246753,10.95,0.55,3.0283752120821807,0.5741711229946524,5,5,264,365,264,66.0,0.0189393939393939,1.0384451628785898
9,3,22.630000000000003,11.357142857142858,24,3,4.861261989634804,159,13,3,22.630000000000003,1.6164285714285715,4.95,0.39,1.1474560969838867,0.1423270440251572,3,1,14,24,14,7.0,0.2142857142857142,0.7527178663623689
8,46,1135.32,208.2529761904762,1944,4,294.4784689036404,69973,124,46,1135.32,3.3789285714285717,12.98,0.72,2.2343564396399103,0.0162251154016549,46,12,359,368,359,7.977777777777778,0.128133704735376,1.0446988866214004
264,1,37.46,9.5,24,3,5.787918451395113,133,14,1,37.46,2.6757142857142857,5.95,0.42,2.038508935795642,0.2816541353383459,1,1,0,264,0,0.0,1.0,0.8806010916053608
52,6,299.41,11.905982905982906,120,1,16.060759046123454,1393,110,6,299.41,2.559059829059829,12.5,0.12,2.4119665688288983,0.2149389806173726,6,6,229,281,229,45.8,0.0262008733624454,0.7500248837251019
26,1,151.61,8.685714285714285,48,1,10.882165781272462,608,62,1,151.61,2.165857142857143,8.95,0.19,2.0145747872687587,0.2493585526315789,1,1,0,26,0,0.0,1.0,0.7184619044795487
214,2,51.55,13.024390243902438,24,5,6.129795285643919,534,40,2,51.55,1.2573170731707315,2.95,0.29,0.6643757385329625,0.0965355805243445,2,2,53,267,53,53.0,0.0377358490566037,0.7554286235144078
30,1,12.7,9.666666666666666,12,4,3.204163957519444,58,6,1,12.7,2.1166666666666667,4.95,1.25,1.4080719678577038,0.2189655172413793,1,1,0,30,0,0.0,1.0,0.8789881261521099
373,1,89.09,5.166666666666667,12,1,3.2038579685049933,93,18,1,89.09,4.9494444444444445,12.75,0.85,3.297771925588944,0.957956989247312,1,1,0,373,0,0.0,1.0,1.151630316856844
19,1,153.54,4.923076923076923,32,1,5.469509616496456,256,50,1,153.54,2.9526923076923075,8.15,0.39,2.381029696008221,0.599765625,1,1,0,19,0,0.0,1.0,0.8733115568840978
74,2,147.89,8.15,100,1,15.920166296721092,489,58,2,147.89,2.464833333333333,9.95,0.04,2.427146257398235,0.3024335378323108,2,1,22,96,22,22.0,0.0909090909090909,0.7192086792363933
25,4,237.3,7.338028169014085,100,1,13.703955280941788,521,60,4,237.3,3.3422535211267608,16.95,0.04,3.108324398028668,0.4554702495201536,4,4,306,331,306,102.0,0.0130718954248366,0.8135320382028505
41,2,317.01,3.3550295857988166,20,1,3.053782027541998,567,134,2,317.01,1.8757988165680477,9.95,0.21,1.460416845988231,0.5591005291005291,2,2,41,83,41,41.0,0.048780487804878,0.7623906573500269
23,5,98.8,9.76086956521739,24,2,3.888357451610845,449,41,5,98.8,2.1478260869565218,10.4,0.29,1.8415330727334265,0.220044543429844,5,5,152,176,152,38.0,0.0328947368421052,0.7558687623826986
3,7,27.33,129.64102564102564,1200,1,246.2452230025021,5056,29,7,27.33,0.7007692307692308,1.95,0.39,0.4920600338607849,0.0054054588607594,7,2,57,60,57,9.5,0.1228070175438596,0.4696655730104592
51,1,66.55,10.375,24,2,6.1087369125431055,166,16,1,66.55,4.159375,12.5,0.83,3.69915029657713,0.4009036144578313,1,1,0,51,0,0.0,1.0,0.8851334257237305
22,5,20.19,85.81818181818181,144,48,30.7955132505311,944,8,5,20.19,1.8354545454545448,4.25,1.04,0.926081677136133,0.0213877118644067,5,4,160,183,160,40.0,0.03125,0.952947409885369
206,2,397.38,8.563106796116505,36,1,7.88106430419865,882,92,2,397.38,3.858058252427184,65.0,0.29,7.749011456024116,0.4505442176870748,2,2,115,321,115,115.0,0.017391304347826,0.4409707624477649
26,3,169.78,6.195876288659794,25,1,6.561629585542711,601,85,3,169.78,1.7503092783505154,9.95,0.19,1.893786690298175,0.282495840266223,3,3,110,137,110,55.0,0.0272727272727272,0.6048508289220738
24,3,280.58,4.7075471698113205,100,1,14.09219100280927,499,102,3,280.58,2.646981132075472,8.95,0.04,1.8389190250233944,0.5622845691382765,3,3,259,284,259,129.5,0.0115830115830115,0.9323905010124968
4,2,12.98,21.473684210526315,48,12,11.715936065664444,408,19,2,12.98,0.6831578947368421,1.95,0.19,0.4408836156777652,0.031813725490196,2,2,96,101,96,96.0,0.0208333333333333,0.4741242715953135
53,6,347.8,13.392592592592592,100,1,14.86109630972124,1808,116,6,347.8,2.5762962962962965,14.95,0.04,2.841771767265096,0.1923672566371681,6,6,244,298,244,48.8,0.0245901639344262,0.670601080014268
96,2,57.36,17.0,48,4,9.539392014169458,493,29,2,57.36,1.9779310344827583,4.95,0.39,1.402740632044348,0.1163488843813387,2,2,158,254,158,158.0,0.0126582278481012,0.8231978966451554
52,7,327.07,14.577235772357724,48,2,9.979493835583426,1793,61,7,327.07,2.65910569105691,12.75,0.29,2.6129569984259366,0.182414947016174,7,7,312,364,312,52.0,0.0224358974358974,0.7359915139359278
51,1,96.6,17.27777777777778,100,3,26.889327766093714,311,18,1,96.6,5.366666666666666,12.5,1.25,3.85150390794832,0.3106109324758842,1,1,0,51,0,0.0,1.0,1.1061861988556465
77,3,374.73,6.087719298245614,40,1,6.012614179010821,694,104,3,374.73,3.287105263157895,15.95,0.29,2.9519727088469776,0.539956772334294,3,3,239,316,239,119.5,0.0125523012552301,0.8317631485155009
302,2,14.88,28.63636363636364,108,12,28.66451718509393,315,11,2,14.88,1.3527272727272728,2.95,0.42,0.9152605192959096,0.0472380952380952,2,1,6,309,6,6.0,0.3333333333333333,0.7062889142749958
10,1,113.0,4.941176470588236,12,1,3.766141729862508,84,17,1,113.0,6.647058823529412,25.0,1.25,5.89566765165944,1.3452380952380951,1,1,0,10,0,0.0,1.0,0.96394709828131
26,1,201.37,9.76984126984127,200,1,25.30301569328453,1231,121,1,201.37,1.5981746031746031,15.95,0.04,1.7778132188927611,0.1635824532900081,1,1,0,26,0,0.0,1.0,0.5753355165512666
6,12,1168.63,13.6751269035533,192,1,41.57727058373356,2694,101,12,1168.63,5.932131979695432,29.95,0.55,4.541439752249149,0.4337899034892353,12,9,363,369,363,33.0,0.0330578512396694,1.0705037399870152
45,6,374.71,10.108910891089108,48,1,6.355943659440366,1021,64,6,374.71,3.71,24.95,0.65,3.874202627638363,0.3670029382957884,6,5,221,266,221,44.2,0.0271493212669683,0.7611501374528535
41,8,583.13,2.9760956175298805,36,1,3.1596560405874428,747,215,8,583.13,2.3232270916334663,12.75,0.19,2.0656453578054266,0.7806291834002678,8,5,321,363,321,45.85714285714285,0.0249221183800623,0.757826434723869
70,9,114.0,52.7,492,1,108.63166173374356,1581,24,9,114.0,3.8,12.75,0.21,4.093884421325596,0.0721062618595825,9,5,248,319,248,31.0,0.0362903225806451,0.7459925835951957
5,1,41.84,6.142857142857143,12,1,4.6700667885506535,43,7,1,41.84,5.977142857142858,12.75,0.85,5.120073939198256,0.9730232558139535,1,1,0,5,0,0.0,1.0,0.9766455301887867
19,2,58.35,7.7894736842105265,12,2,3.505217497902567,148,18,2,58.35,3.0710526315789477,8.5,0.85,1.881763046651382,0.3942567567567567,2,2,226,246,226,226.0,0.0088495575221238,1.0656853397948596
202,1,41.59,11.333333333333334,32,2,8.909598890014768,170,15,1,41.59,2.772666666666667,8.25,0.42,2.164487622202231,0.2446470588235294,1,1,0,202,0,0.0,1.0,0.8761818650240484
31,1,5.37,100.0,100,100,0.0,300,3,1,5.37,1.79,1.79,1.79,0.0,0.0179,1,1,0,31,0,0.0,1.0,1.79
31,2,140.37,12.4375,64,1,13.259932046294225,597,47,2,140.37,2.924375,9.95,0.42,2.5959919239375413,0.2351256281407035,2,2,237,269,237,237.0,0.0084388185654008,0.8132318041465082
16,9,635.09,37.53333333333333,288,1,46.03350025869654,3378,50,9,635.09,7.056555555555556,389.68,0.19,41.07966002509976,0.1880076968620485,9,6,237,253,237,29.625,0.0379746835443038,0.1676951655822895
30,1,71.79,3.4324324324324325,24,1,4.746580877856189,127,37,1,71.79,1.9402702702702703,8.5,0.06,1.717424568109804,0.5652755905511812,1,1,0,30,0,0.0,1.0,0.7140107192082579
52,1,173.88,13.015384615384615,200,2,24.411506193092315,846,65,1,173.88,2.675076923076923,11.95,0.39,2.4268756425938647,0.205531914893617,1,1,0,52,0,0.0,1.0,0.7806168656450307
157,2,22.95,85.06666666666666,240,8,88.30423599826962,1276,9,2,22.95,1.53,4.95,0.42,1.4927634967210504,0.0179858934169278,2,2,58,216,58,58.0,0.0344827586206896,0.6137766386632919
40,1,43.12,14.666666666666666,48,3,17.130868824045866,88,6,1,43.12,7.1866666666666665,29.95,0.63,11.245211721735906,0.49,1,1,0,40,0,0.0,1.0,0.5868960725203264
23,3,192.85,4.1,40,1,6.331786906058101,246,59,3,192.85,3.2141666666666664,12.75,0.29,2.508923255891818,0.7839430894308943,3,2,247,270,247,123.5,0.0121457489878542,0.9159979949033574
297,1,2.55,48.0,48,48,0.0,48,1,1,2.55,2.55,2.55,2.55,0.0,0.053125,1,1,0,297,0,0.0,1.0,2.55
61,3,516.67,10.449367088607596,72,1,8.386786292153124,1651,135,3,516.67,3.27006329113924,14.95,0.12,2.8746822581183977,0.3129436705027256,3,3,215,276,215,107.5,0.013953488372093,0.8439565036043061
20,7,507.46,3.6266666666666665,24,1,3.0489225001028,544,113,7,507.46,3.3830666666666667,16.95,0.29,2.811109539161239,0.9328308823529412,7,5,235,255,235,39.16666666666666,0.0297872340425531,0.8876854973345171
2,5,553.54,4.361702127659575,25,1,4.947698817238834,1025,177,5,553.54,2.3554893617021277,11.95,0.19,2.115932861620696,0.5400390243902439,5,5,247,249,247,61.75,0.020242914979757,0.7559499727080006
85,5,429.7,10.772151898734178,100,2,12.449847457708897,851,64,5,429.7,5.439240506329114,16.95,0.42,4.234904646446251,0.5049353701527615,5,4,197,282,197,49.25,0.0253807106598984,1.039033348968749
16,2,10.2,32.0,32,32,0.0,128,2,2,10.2,2.55,2.55,2.55,0.0,0.0796875,2,2,349,366,349,349.0,0.0057306590257879,2.55
262,1,128.04,1.7555555555555555,9,1,1.3677379393389182,79,44,1,128.04,2.845333333333333,8.5,0.39,2.036271771466846,1.620759493670886,1,1,0,262,0,0.0,1.0,0.9371141806448804
86,1,74.17,13.947368421052632,48,2,12.518757855538784,265,19,1,74.17,3.903684210526316,18.0,0.39,4.706505203234155,0.2798867924528302,1,1,0,86,0,0.0,1.0,0.6840761677241454
10,11,937.92,9.44255319148936,48,1,8.12666142594778,2219,128,11,937.92,3.991148936170213,39.95,0.42,3.7811060821165743,0.4226768814781433,11,10,324,334,324,32.4,0.0339506172839506,0.8347752314258102
39,7,496.24,12.852272727272728,100,1,12.74410992036469,2262,141,7,496.24,2.819545454545455,12.75,0.1,2.7679762216529906,0.2193810786914235,7,7,249,289,249,41.5,0.0281124497991967,0.7482917324007251
37,6,343.46,7.26984126984127,24,2,7.903054430360268,458,38,6,343.46,5.451746031746032,12.75,0.55,3.490637033866704,0.7499126637554585,6,6,273,311,273,54.6,0.0219780219780219,1.2140250905675525
172,2,252.28,4.151162790697675,48,1,5.616189710765216,357,85,2,252.28,2.933488372093023,16.95,0.42,2.548347915780574,0.7066666666666667,2,1,1,173,1,1.0,2.0,0.8267194879754927
52,7,212.62,19.65,144,3,23.894864656700307,1572,74,7,212.62,2.65775,12.5,0.42,2.3292612916023314,0.1352544529262086,7,6,211,264,211,35.166666666666664,0.0331753554502369,0.7983002135350147
156,1,38.07,1.3333333333333333,3,1,0.7071067811865476,12,9,1,38.07,4.23,20.0,0.39,6.657140902820069,3.1725,1,1,0,156,0,0.0,1.0,0.5524255141291865
264,1,98.8,12.580645161290322,24,1,7.145041140765099,390,31,1,98.8,3.1870967741935483,12.75,0.85,2.781605284182004,0.2533333333333333,1,1,0,264,0,0.0,1.0,0.8427893803525153
33,1,59.7,20.94736842105263,48,3,15.693146714447346,398,19,1,59.7,3.142105263157895,10.95,0.29,3.431298068187685,0.15,1,1,0,33,0,0.0,1.0,0.7090710701036086
3,2,111.19,11.363636363636363,24,2,6.8593830891441225,375,28,2,111.19,3.369393939393939,9.95,0.83,2.8326709341559817,0.2965066666666666,2,2,356,359,356,356.0,0.0056179775280898,0.8791242444965958
37,1,35.8,4.9523809523809526,24,1,8.034153287535597,104,21,1,35.8,1.7047619047619047,4.25,0.21,1.1513714389701484,0.3442307692307692,1,1,0,37,0,0.0,1.0,0.7924070543476055
71,2,38.19,12.466666666666669,25,2,10.006188561275945,187,15,2,38.19,2.546,7.95,0.19,2.320458082854701,0.2042245989304812,2,2,131,202,131,131.0,0.015267175572519,0.7667616745853104
50,1,35.400000000000006,19.2,40,2,17.23948955160796,96,5,1,35.400000000000006,7.080000000000001,18.0,4.15,6.1142865487315845,0.3687500000000001,1,1,0,50,0,0.0,1.0,0.9951806061652526
120,2,31.5,9.333333333333334,12,2,3.6055512754639896,84,8,2,31.5,3.5,7.65,1.25,2.4494897427831783,0.375,2,2,241,362,241,241.0,0.0082987551867219,1.0146428199482247
78,1,50.75,2.875,6,2,1.4577379737113252,23,8,1,50.75,6.34375,11.95,2.1,3.175400705872747,2.2065217391304346,1,1,0,78,0,0.0,1.0,1.5193152578332054
233,1,73.5,1.0,1,1,0.0,23,23,1,73.5,3.1956521739130435,7.95,0.85,2.086586656124731,3.1956521739130435,1,1,0,233,0,0.0,1.0,1.0353353169501631
18,6,668.86,9.15891472868217,80,1,8.63494044466856,2363,208,6,668.86,2.592480620155039,16.95,0.29,3.0879278007647457,0.2830554380025391,6,5,314,332,314,62.8,0.019108280254777,0.6341796495696556
202,1,23.4,11.0,24,5,6.726812023536855,99,9,1,23.4,2.6,6.75,1.95,1.5678408720275152,0.2363636363636363,1,1,0,202,0,0.0,1.0,1.0125238009577642
